id,departement-nom,titulaire-profession,titulaire-soutien,date,titulaire-soutien-harmo
EL009_L_1958_11_007_01_1_PF_01,Ardèche,commerçant,Union pour la nouvelle République,23/11/1958,UNR
EL009_L_1958_11_007_01_1_PF_02,Ardèche,agriculteur,non mentionné,23/11/1958,Non mentionné
EL009_L_1958_11_007_01_1_PF_03,Ardèche,maître-mécanicien,indépendant,23/11/1958,Indépendant
EL009_L_1958_11_007_01_1_PF_04,Ardèche,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_007_01_1_PF_05,Ardèche,agriculteur exploitant,Mouvement républicain populaire,23/11/1958,Mouvement républicain populaire
EL009_L_1958_11_007_01_1_PF_06,Ardèche,non mentionné,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_007_02_1_PF_01,Ardèche,ouvrier mécanicien,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_007_02_1_PF_02,Ardèche,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_007_02_1_PF_03,Ardèche,petit exploitant agricole,Mouvement républicain populaire,23/11/1958,Mouvement républicain populaire
EL009_L_1958_11_007_02_1_PF_04,Ardèche,non mentionné,Républicain indépendant,23/11/1958,Républicains indépendants
EL009_L_1958_11_007_02_1_PF_05,Ardèche,non mentionné,non mentionné,23/11/1958,Non mentionné
EL009_L_1958_11_007_03_1_PF_01,Ardèche,imprimeur-directeur journal,Union pour la nouvelle République,23/11/1958,UNR
EL009_L_1958_11_007_03_1_PF_02,Ardèche,instituteur,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_007_03_1_PF_03,Ardèche,non mentionné,Union républicaine ardéchoise,23/11/1958,Liste locale / régionale
EL009_L_1958_11_007_03_1_PF_04,Ardèche,exploitant agricole,non mentionné,23/11/1958,Non mentionné
EL009_L_1958_11_007_03_1_PF_05,Ardèche,propriétaire exploitant,non mentionné,23/11/1958,Non mentionné
EL009_L_1958_11_007_03_1_PF_06,Ardèche,non mentionné,libre,23/11/1958,Sans parti
EL009_L_1958_11_007_03_1_PF_07,Ardèche,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_031_01_1_PF_01,Haute-Garonne,chargé de cours Institut du Génie chimique,Union pour la nouvelle République,23/11/1958,UNR
EL009_L_1958_11_031_01_1_PF_02,Haute-Garonne,médecin colonel Armée de l'air,aucun parti politique,23/11/1958,Sans parti
EL009_L_1958_11_031_01_1_PF_03,Haute-Garonne,ingénieur organisateur-conseil,non mentionné,23/11/1958,Non mentionné
EL009_L_1958_11_031_01_1_PF_04,Haute-Garonne,non mentionné,non mentionné,23/11/1958,Non mentionné
EL009_L_1958_11_031_01_1_PF_05,Haute-Garonne,docteur,Parti républicain radical et radical-socialiste,23/11/1958,Parti radical / radical-socialiste
EL009_L_1958_11_031_01_1_PF_06,Haute-Garonne,ouvrier chimiste,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_031_01_1_PF_07,Haute-Garonne,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_031_02_1_PF_01,Haute-Garonne,sous-préfet honoraire,Union pour la nouvelle République,23/11/1958,UNR
EL009_L_1958_11_031_02_1_PF_02,Haute-Garonne,administrateur civil Service de l'Action sociale,Centre national des indépendants,23/11/1958,CNIP / Indépendants et paysans
EL009_L_1958_11_031_02_1_PF_03,Haute-Garonne,non mentionné,France libre,23/11/1958,Divers historiques / protestataires
EL009_L_1958_11_031_02_1_PF_04,Haute-Garonne,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_031_02_1_PF_05,Haute-Garonne,cheminot,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_031_02_1_PF_06,Haute-Garonne,non mentionné,indépendant de gauche,23/11/1958,Divers gauche
