source_label,target_label
non mentionné,Non mentionné
sans étiquette,Sans parti
sans parti politique,Sans parti
aucun parti politique,Sans parti
hors des partis,Sans parti
apolitique,Sans parti
libre,Sans parti
libres,Sans parti

Parti communiste français,Parti communiste français

Parti socialiste Section française de l'Internationale ouvrière,SFIO
Parti socialiste Section française de l'Internationale ouvrière autonome,SFIO autonome
Parti socialiste,Parti socialiste
socialiste,Parti socialiste
Socialiste,Parti socialiste
Parti socialiste unifié,Parti socialiste unifié
socialiste indépendant,Socialiste indépendant / social-démocrate
socialistes indépendants,Socialiste indépendant / social-démocrate
Parti social démocrate,Socialiste indépendant / social-démocrate
social-démocrate,Socialiste indépendant / social-démocrate
Présence socialiste,Socialiste indépendant / social-démocrate
Fédération socialiste,Socialiste indépendant / social-démocrate
Fédération de la gauche démocrate et socialiste,FGDS
Fédération de la gauche radicale et socialiste,FGDS
Fédération de la gauche,FGDS
Fédération,FGDS
Union de la gauche Ve République,Gauche non communiste
Convention des institutions républicaines,Gauche non communiste
Mouvement de la gauche indépendante,Gauche non communiste
gauche,Gauche non communiste
Gauche radicale,Gauche radicale

Parti républicain radical et radical-socialiste,Parti radical / radical-socialiste
Parti radical et radical-socialiste,Parti radical / radical-socialiste
Parti radical-socialiste,Parti radical / radical-socialiste
Parti radical et radical socialiste,Parti radical / radical-socialiste
Parti républicain radical et radical socialiste,Parti radical / radical-socialiste
radical-socialiste,Parti radical / radical-socialiste
Républicain radical-socialiste,Parti radical / radical-socialiste
Radicaux-socialistes,Parti radical / radical-socialiste
Mouvement des radicaux de gauche,Mouvement des radicaux de gauche
Radicaux de gauche,Mouvement des radicaux de gauche
Radical de gauche,Mouvement des radicaux de gauche
Parti radical,Parti radical
Radical,Parti radical

Mouvement républicain populaire,Mouvement républicain populaire
Républicain populaire,Mouvement républicain populaire
Démocrates chrétiens,Démocratie chrétienne
Démocratie chrétienne,Démocratie chrétienne
Démocratie chrétienne de France,Démocratie chrétienne
Démocrate chrétien,Démocratie chrétienne
Union internationale des démocrates chrétiens,Démocratie chrétienne

Centre républicain,Centre républicain
Centre démocrate,Centre démocrate
Centre démocratique des indépendants,Centre démocrate
Centre démocrate et républicain,Centre démocrate
Centre démocrate social et européen,Centre démocrate
Centre des démocrates sociaux,Centre des démocrates sociaux
Centre Démocratie et Progrès,Centre réformateur / démocratie et progrès
Progrès et démocratie moderne,Centre réformateur / démocratie et progrès
Républicain de progrès,Centre réformateur / démocratie et progrès
indépendant de progrès,Centre réformateur / démocratie et progrès
centriste,Centre
centre gauche,Centre
Républicain du centre,Centre
Républicains du centre,Centre
démocrate,Centre
démocrates,Centre

indépendant,Indépendant
Indépendant,Indépendant
indépendants,Indépendant
Indépendants,Indépendant
indépendante,Indépendant
Républicain indépendant,Républicains indépendants
Républicains indépendants,Républicains indépendants
Fédération nationale des Républicains indépendants,Républicains indépendants
Groupement national des républicains indépendants,Républicains indépendants
Républicains indépendants d'action sociale,Républicains indépendants
Républicain indépendant d'action sociale,Républicains indépendants
Républicain indépendant de progrès,Républicains indépendants

Centre national des indépendants,CNIP / Indépendants et paysans
Centre national des indépendants et paysans,CNIP / Indépendants et paysans
Parti républicain des indépendants et paysans,CNIP / Indépendants et paysans
Indépendants et paysans,CNIP / Indépendants et paysans
Indépendant et paysan,CNIP / Indépendants et paysans
Républicains indépendants et paysans,CNIP / Indépendants et paysans
Indépendants paysans d'action sociale,CNIP / Indépendants et paysans
Jeunesses indépendantes et paysannes,CNIP / Indépendants et paysans
Fédération des républicains indépendants paysans,CNIP / Indépendants et paysans

Alliance républicaine indépendante et libérale,Libéraux / indépendants
Alliance républicaine,Libéraux / indépendants
Alliance républicaine pour les libertés et le progrès,Libéraux / indépendants
libéral,Libéraux / indépendants
Parti libéral européen,Libéraux / indépendants
Entente libérale libertaire européenne,Libéraux / indépendants

Union pour la nouvelle République,UNR
Union pour la nouvelle République-Union démocratique du travail,UNR-UDT
Union des démocrates pour la Ve République,UDR
Union des démocrates pour la République,UDR
Rassemblement pour la République,RPR
Comité Ve République,Gaullistes / Ve République
Comité d'action pour la Ve République,Gaullistes / Ve République
Comités de défense de la République,Gaullistes / Ve République
Centre national pour la Ve République démocratique et unie,Gaullistes / Ve République
Gaullistes indépendants,Gaullistes indépendants
gaulliste d'opposition,Gaullistes indépendants
indépendant gaulliste,Gaullistes indépendants
Elus gaullistes du progrès,Gaullistes indépendants
Union des gaullistes de progrès,Gaullistes indépendants
Union des républicains de progrès,Droite républicaine / gaulliste
Mouvement France et République,Droite républicaine / gaulliste
Centre des républicains libres,Droite républicaine / gaulliste
Rassemblement démocratique,Divers droite républicaine
Comité d'action pour la Ve République,Gaullistes / Ve République
Comité Ve République,Gaullistes / Ve République

Union pour la démocratie française,UDF
Parti républicain,Parti républicain
Mouvement des démocrates,Centre démocrate modéré
Mouvement démocrate socialiste de France,Centre démocrate modéré
Mouvement réformateur,Mouvement réformateur
Réformateur,Mouvement réformateur
Nouveau contrat social,Nouveau contrat social

Front national,Front national
Parti national démocrate,Parti national démocrate
Solidarité occidentale salvatrice section française,Extrême droite
Union des Français de bon sens,Droite protestataire
Mouvement national progrès et liberté,Droite national-conservatrice

Verts,Les Verts
Ecologie les Verts,Les Verts
Génération écologie,Génération écologie
écologiste,Écologistes divers
écologistes,Écologistes divers
écologiste indépendant,Écologistes divers
Région verte,Écologistes divers
Solidarité écologie gauche alternative,Écologistes divers
Nature Environnement Santé,Écologistes divers
Arc en ciel,Écologistes divers
Nouveaux écologistes du rassemblement nature et animaux,NERA
Parti de la loi naturelle,Parti de la loi naturelle

Lutte ouvrière,Lutte ouvrière
Ligue communiste,Ligue communiste révolutionnaire
Ligue communiste révolutionnaire,Ligue communiste révolutionnaire
Organisation communiste internationaliste,Organisation communiste internationaliste
Parti ouvrier européen,Parti ouvrier européen
Parti des travailleurs,Parti des travailleurs
Mouvement pour un parti des travailleurs,Parti des travailleurs
communistes fidèles au marxisme-léninisme et à la pensée de Mao Tsé-toung,Extrême gauche marxiste-léniniste
marxistes-léninistes,Extrême gauche marxiste-léniniste
Comités Juquin,Gauche dissidente communiste
Comités d'initiative pour une nouvelle politique à gauche,Gauche dissidente communiste
Collectif Vraiment à gauche,Gauche radicale

Chasse pêche nature traditions,CPNT
Coordination rurale,Coordination rurale
Syndicat national de défense du droit des agriculteurs,Défense agriculteurs
Groupe paysan,Paysans / agrariens
Union nationale des travailleurs indépendants,Travailleurs indépendants
Mouvement national des élus locaux,Élus locaux

Club dionysien d'action civique communale et sociale,Comité local / divers
Comité électoral de rénovation républicaine de la circonscription,Comité local / divers
Union républicaine ardéchoise,Liste locale / régionale
Convention républicaine,Divers républicain
Entente démocratique,Divers centre
Entente républicaine et radicale du Sud-Ouest,Liste régionale radicale
Mouvement rénovateur nouvelle génération,Divers centre / rénovation
Unitat d'Oc,Régionaliste
fédéraliste occitan et européen,Régionaliste
Union paneuropéenne,Européens / paneuropéens
Rassemblement européen de la liberté,Européens / paneuropéens
Choisir la cause des femmes,Féministe
Association des usagers de l'administration et des services publics,Liste citoyenne
Civisme et progrès,Divers civique
Parti du ras le bol,Liste protestataire
Comité pour l'autogestion socialiste,Gauche autogestionnaire / résistante
autogestionnaire,Gauche autogestionnaire / résistante
Union progressiste,Gauche autogestionnaire / résistante
Union démocratique et socialiste de la Résistance,Gauche autogestionnaire / résistante
Union des jeunes combattants des résistants des patriotes,Gauche autogestionnaire / résistante
France libre,Divers historiques / protestataires
Union et fraternité française,Divers historiques / protestataires
Mouvement Poujade,Divers historiques / protestataires
Jeune République,Divers historiques / protestataires
Comités communistes autogestionnaires,Divers historiques / protestataires

national,Divers droite
républicain,Divers républicain
républicaine socialiste,Divers gauche
républicain social,Divers gauche
républicain d'action sociale familiale,Divers républicain
socialiste indépendant,Socialiste indépendant / social-démocrate
centre gauche,Centre
démocrate,Centre
démocrates,Centre

Union des indépendants,Républicains indépendants
Alliance populaire,Divers droite
Fédération des républicains de progrès,Droite républicaine / gaulliste
Parti socialiste démocrate,Socialiste indépendant / social-démocrate
radical indépendant,Parti radical / radical-socialiste
Club Technique et démocratie,Centre démocrate modéré
Démocratie chrétienne française,Démocratie chrétienne
Gauche Ve République,Gauche non communiste
Mouvement des citoyens,Gauche non communiste
Mouvement des réformateurs,Mouvement réformateur
Mouvement pour le socialisme par la participation,Gauche non communiste
Parti communiste révolutionnaire,Gauche radicale
Rassemblement des gauches républicaines,Gauche non communiste
Rassemblement du peuple français,Droite républicaine / gaulliste
Union des forces démocratiques,Centre démocrate modéré
Union et action libérale et sociale,Libéraux / indépendants
centristes,Centre
indépendant de gauche,Divers gauche
républicain-socialiste,Divers gauche
républicains-socialistes,Divers gauche
